language; Русский
carrot; Морковь
tomato; Томат
banana; Банан
egg; Яйцо
orange; Апельсин
cheese; Сыр
cocos; Кокос
seeds; Косточки манфан
meat; Мясо
fish_blue; Скумбрия
fish_red; Лосось
fish_yellow; Рыба фугу
berry_red; Калина
berry_blue; Черника
berry_black; Ягоды белладонны
nuts; Орехи
onion; Лук
potato; Картофель
potato_poison; Зелёный картофель
pickle; Огурец
mush; Гриб
amanita; Мухомор
play; Играть
settings; Настройки
credits; Авторы
quit; Выйти
back; Назад
credits_jam_label; Игра создана для Coco Code GameJam, разработчики игры RobDemo и AntonXCM.
credits_slime_label; Если игра вам понравилась, вы можете посмотреть другие игры авторов, нажав на картинку справа!
book_poison; Ядовитые продукты
book_poison_combination; Опасные комбинации
book_healing; Лечебные комбинации
dish_counter; Съедено блюд
button_eat; Съесть блюдо
button_change_dish; Заменить блюдо
game_over; Игра окончена
retry; Заново
back_to_menu; Вернутся в меню
day; День
level_begining; начало
level_allergy; аллергия
level_immunity; иммунитет
level_addiction; зависимость
level_hunger; голод
level_begining_message; Вы начинаете свою работу дегустатора! Вам нужно съесть как можно больше блюд, следите чтобы в составе блюда не было ядовитых продуктов или опасных комбинаций продуктов.
level_allergy_message; Врачи обнаружили у вас аллергию на [allergy1]. Теперь поедание этого продукта вызовет у вас отравление, будте осторожны!
level_immunity_message; Вы странно себя чувствуете. Похоже вы заболели какой-то странной болезнью, но ядовитые продукты больше не вызывают у вас отравление. Странно, не так ли? Опасные комбинации продуктов всё ещё вызывают у вас отравление.
level_addiction_message; С вами явно что-то не так. Вам хочется есть всё больше ядов. Теперь поедание еды без ядовитых продуктов вызывает у вас отравление. Следите чтобы в блюде был хоть один ядовитый продукт. Это добром не кончится...
level_hunger_message; Вам становится всё хуже, у вас появилась настоящая зависимость от ядов. Теперь вам становится плохо, если вы долго ничего не едите. Старайтесь выбирать блюда как можно быстрее, иначе вы съедите блюдо перед вами.